,,Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Store Shopping Mission,Brand Name,Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP",Impressions,"Δ %, Impressions PP",Discovery Rate,"Δ ppt, Discovery Rate PP",Menu views,"Δ %, Menu Views PP",Menu Engagement Rate,"Δ ppt, Menu Engagement Rate PP",Cart Abandonment Rate,"Δ ppt, Cart Abandonment Rate PP",Conversion Rate,"Δ ppt, Conversion Rate PP"
Ukraine,Grocery Stores,VARUS,594954,30.0%,9%,1.4,51228,56.1%,47%,-0.1,41%,2.,28%,-1.,457777,14.4%,7%,1.6,32826,47.0%,47%,-3.8,39%,0.2,29%,-2.4,400086,,6%,,22326,,51%,,39%,,31%,
Ukraine,Grocery Stores,LOKO,599076,45.8%,7%,0.9,43631,66.2%,31%,-4.2,62%,12.2,12%,-5.9,410989,14.4%,6%,-0.8,26254,1.5%,35%,1.5,50%,-2.7,17%,1.6,359222,,7%,,25876,,34%,,53%,,16%,
Ukraine,Alcohol Stores,HOP HEY,289124,32.7%,4%,-0.1,10693,29.4%,50%,-1.6,26%,2.9,37%,-2.7,217914,11.6%,4%,-0.5,8265,-0.7%,51%,0.3,23%,-0.9,40%,0.7,195271,,4%,,8325,,51%,,24%,,39%,
Ukraine,Grocery Stores,KOPIYKA,139427,27.1%,5%,0.3,6309,36.5%,48%,1.4,35%,-5.6,31%,3.5,109659,40.7%,4%,-1.2,4621,9.3%,46%,-1.6,41%,3.4,27%,-2.6,77933,,5%,,4226,,48%,,38%,,30%,
Ukraine,Alcohol Stores,BEER MARKET,227045,26.7%,5%,-0.6,10343,11.9%,39%,-1.2,31%,5.3,27%,-3.,179225,-2.3%,5%,-0.6,9241,-12.8%,40%,2.6,26%,-1.4,30%,2.5,183419,,6%,,10599,,38%,,27%,,27%,
Ukraine,Convenience Stores,CAFE RYNOK,90820,13.8%,9%,0.,8169,14.1%,32%,0.1,36%,2.1,20%,-0.6,79788,2.8%,9%,-0.3,7162,-0.9%,32%,1.,34%,-0.3,21%,0.7,77588,,9%,,7224,,31%,,34%,,20%,
Ukraine,Alcohol Stores,BEERLAND,108636,51.3%,4%,-1.,3812,18.2%,46%,-1.6,24%,0.2,35%,-1.3,71792,8.0%,4%,-0.3,3224,2.3%,47%,-0.3,24%,2.3,36%,-1.3,66444,,5%,,3151,,48%,,21%,,37%,
Ukraine,Alcohol Stores,PYVNA BORODA,69760,5.4%,4%,-0.2,2930,-0.3%,55%,1.6,17%,-1.3,46%,2.,66217,19.9%,4%,-0.2,2939,13.7%,54%,1.7,18%,-2.7,44%,2.7,55239,,5%,,2585,,52%,,21%,,41%,
Ukraine,Alcohol Stores,REMESLO BREWERY,146400,20.4%,4%,0.1,5598,24.6%,25%,-3.3,29%,3.6,18%,-3.4,121612,-9.4%,4%,0.1,4492,-7.6%,28%,1.,25%,0.7,21%,0.6,134187,,4%,,4859,,27%,,25%,,21%,
Ukraine,Convenience Stores,OKKO MARKET,203125,"1,922.2%",4%,-1.8,7928,"1,288.4%",26%,3.7,45%,0.2,14%,2.,10045,,6%,,571,,22%,,44%,,12%,,,,,,,,,,,,,
Ukraine,Grocery Stores,RUKAVYCHKA,33337,-9.8%,8%,1.5,2741,10.0%,49%,1.4,46%,0.8,26%,0.4,36966,-22.9%,7%,0.4,2492,-18.5%,47%,-1.2,45%,-0.4,26%,-0.4,47956,,6%,,3056,,48%,,46%,,26%,
Ukraine,Grocery Stores,TAISTRA,35898,17.6%,7%,-0.2,2489,14.2%,42%,1.,43%,-0.9,24%,1.,30516,0.7%,7%,-0.2,2179,-2.1%,41%,-0.3,44%,-0.6,23%,0.,30299,,7%,,2226,,42%,,45%,,23%,
Ukraine,Alcohol Stores,LEPRUKON,57233,64.4%,5%,-0.4,2914,53.1%,39%,-4.3,31%,6.6,27%,-5.8,34803,60.1%,5%,-1.1,1903,34.0%,43%,-3.,24%,-2.5,32%,-1.1,21733,,7%,,1420,,46%,,27%,,34%,
Ukraine,Grocery Stores,SANTIM,37162,12.1%,5%,0.4,1711,22.0%,40%,3.1,41%,7.2,24%,-0.8,33146,30.8%,4%,-1.,1402,6.3%,37%,-6.3,33%,-2.7,25%,-3.1,25334,,5%,,1319,,43%,,36%,,28%,
Ukraine,Pharmacies,ANRI-PHARM,123873,-3.2%,3%,0.2,3218,5.7%,36%,2.8,41%,6.4,21%,-0.5,127938,0.2%,2%,0.1,3045,5.6%,33%,-0.7,35%,2.3,22%,-1.3,127659,,2%,,2883,,34%,,32%,,23%,
Ukraine,Alcohol Stores,WINETIME,109252,28.7%,3%,0.6,3228,59.3%,22%,4.3,55%,14.9,10%,-0.8,84919,0.8%,2%,-0.2,2027,-8.2%,18%,0.4,40%,0.7,11%,0.1,84244,,3%,,2209,,18%,,39%,,11%,
