,,Report Time (dynamic),2026-06,2026-06,2026-06,2026-06,2026-07,2026-07,2026-07,2026-07,2026-08,2026-08,2026-08,2026-08
Country Name,Store Shopping Mission,Brand Name,Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP",Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP",Active Users,"Δ %, Active Users PP",Frequency,"Δ %, Frequency PP"
Ukraine,Grocery Stores,VARUS,3571,-24.1%,2.09,0.1%,4704,-32.5%,2.09,0.4%,6965,,2.08,
Ukraine,Grocery Stores,LOKO,2587,-4.3%,1.73,-3.9%,2703,-14.8%,1.81,5.9%,3174,,1.7,
Ukraine,Alcohol Stores,HOP HEY,1482,0.8%,2.26,-3.4%,1470,-18.1%,2.34,3.2%,1795,,2.26,
Ukraine,Alcohol Stores,BEER MARKET,1280,2.2%,2.06,-2.0%,1253,-7.0%,2.1,7.1%,1347,,1.96,
Ukraine,Convenience Stores,CAFE RYNOK,723,4.6%,2.04,-6.3%,691,-12.0%,2.17,2.3%,785,,2.12,
Ukraine,Grocery Stores,KOPIYKA,530,-4.3%,2.53,4.1%,554,-29.6%,2.43,-7.6%,787,,2.63,
Ukraine,Alcohol Stores,REMESLO BREWERY,513,-0.2%,2.03,7.2%,514,-5.9%,1.89,-0.3%,546,,1.9,
Ukraine,Alcohol Stores,BEERLAND,592,5.9%,1.89,-8.9%,559,-12.7%,2.07,1.5%,640,,2.04,
Ukraine,Grocery Stores,RUKAVYCHKA,392,21.4%,2.1,10.0%,323,-3.6%,1.91,-14.6%,335,,2.24,
Ukraine,Alcohol Stores,PYVNA BORODA,473,-3.7%,2.4,-12.6%,491,-6.1%,2.74,-0.8%,523,,2.76,
Ukraine,Grocery Stores,TAISTRA,278,6.1%,2.14,2.3%,262,-9.7%,2.09,-7.4%,290,,2.26,
Ukraine,Specialty Stores,MEALTIME,215,7.0%,1.61,2.4%,201,7.5%,1.57,-0.7%,187,,1.58,
Ukraine,Grocery Stores,SANTIM,160,1.3%,2.44,7.3%,158,-16.0%,2.27,-5.9%,188,,2.41,
Ukraine,Alcohol Stores,TOCHKA,257,-0.8%,2.09,-9.4%,259,6.1%,2.31,-2.0%,244,,2.35,
Ukraine,Pharmacies,ANRI-PHARM,451,-9.3%,1.14,-6.1%,497,-8.6%,1.21,1.2%,544,,1.19,
Ukraine,Grocery Stores,KOPIYKA MINI,231,3.1%,2.02,0.9%,224,-8.2%,2.,9.2%,244,,1.83,
Ukraine,Alcohol Stores,LEPRUKON,236,-20.0%,2.24,-2.5%,295,-27.2%,2.3,5.8%,405,,2.17,
Ukraine,Alcohol Stores,WINETIME,144,1.4%,1.58,4.1%,142,-28.3%,1.51,-8.6%,198,,1.66,
Ukraine,Specialty Stores,TAISTRA,126,26.0%,2.69,18.5%,100,78.6%,2.27,-11.7%,56,,2.57,
Ukraine,Alcohol Stores,SPRAGA,211,23.4%,2.41,-5.0%,171,-8.1%,2.54,0.9%,186,,2.52,
Ukraine,Alcohol Stores,MAXBEER,133,-8.9%,2.78,6.6%,146,4.3%,2.61,-7.0%,140,,2.81,
Ukraine,Alcohol Stores,DIMPYVA,160,-4.8%,2.43,-12.8%,168,12.8%,2.78,0.5%,149,,2.77,
Ukraine,Alcohol Stores,ALTBIER,119,15.5%,2.11,-8.7%,103,14.4%,2.31,1.9%,90,,2.27,
Ukraine,Alcohol Stores,CHILL TIME,137,-7.4%,2.69,10.7%,148,9.6%,2.43,-8.5%,135,,2.66,
Ukraine,Erotic,NO TABOO,89,-11.0%,1.1,2.0%,100,-19.4%,1.08,-3.7%,124,,1.12,
Ukraine,Alcohol Stores,PYVNA SOVA,72,-7.7%,3.19,-6.3%,78,-45.1%,3.41,12.4%,142,,3.04,
Ukraine,Specialty Stores,LEPRUKON,95,17.3%,2.41,-29.8%,81,-4.7%,3.43,5.3%,85,,3.26,
Ukraine,Alcohol Stores,KEGOVA,72,-1.4%,1.71,2.2%,73,30.4%,1.67,2.8%,56,,1.63,
Ukraine,Alcohol Stores,GOOD BEER,90,8.4%,1.76,10.4%,83,3.8%,1.59,-10.4%,80,,1.78,
Ukraine,Alcohol Stores,HALYTSKYI KUKHOL,98,1.0%,1.58,-19.3%,97,-21.1%,1.96,-4.8%,123,,2.06,
Ukraine,Alcohol Stores,OPILLYA,54,14.9%,2.11,7.9%,47,-21.7%,1.96,-23.2%,60,,2.55,
Ukraine,Flower Shops,FLOWER SHOP,23,-32.4%,1.04,-6.6%,34,-19.0%,1.12,2.0%,42,,1.1,
Ukraine,Alcohol Stores,GOOD BEER VIN,65,10.2%,1.68,-19.6%,59,-21.3%,2.08,-1.7%,75,,2.12,
Ukraine,Alcohol Stores,LUCKY BEER,37,5.7%,1.95,-31.2%,35,20.7%,2.83,41.4%,29,,2.,
Ukraine,Alcohol Stores,MAHAZYN PYVNYY UKRAIINSKYJ KRAFT,40,53.8%,2.5,-31.6%,26,-18.8%,3.65,27.1%,32,,2.88,
Ukraine,Alcohol Stores,BEER SHOP VINNITSYA,83,80.4%,1.34,-3.9%,46,21.1%,1.39,12.5%,38,,1.24,
Ukraine,Alcohol Stores,NALYVKY ZI LVOVA,45,55.2%,1.51,9.6%,29,-51.7%,1.38,3.4%,60,,1.33,
Ukraine,Flower Shops,NL FLOWER SHOP,21,10.5%,1.14,8.6%,19,-34.5%,1.05,-7.5%,29,,1.14,
Ukraine,Specialty Stores,VAPE STORY,52,13.0%,1.17,-3.6%,46,0.0%,1.22,-1.8%,46,,1.24,
Ukraine,Alcohol Stores,UMANPYVO BRANDSTORE,71,1.4%,2.04,19.1%,70,-32.7%,1.71,-6.7%,104,,1.84,
Ukraine,Alcohol Stores,BOHEMIAN KINGS BEER,28,-9.7%,2.71,95.7%,31,6.9%,1.39,-21.1%,29,,1.76,
Ukraine,Alcohol Stores,PYVOTEKA ODESA,39,-9.3%,2.44,21.8%,43,13.2%,2.,-15.6%,38,,2.37,
Ukraine,Convenience Stores,REMESLO BREWERY,31,14.8%,1.58,-12.9%,27,-27.0%,1.81,-1.3%,37,,1.84,
