,,Report Time (dynamic),2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-05,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-04,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-03,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-02,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01,2026-01
Country Name,Store Shopping Mission,Brand Name,Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP"
Ukraine,Alcohol Stores,BEER MARKET,23717.496936321,188,-5%,70%,-8.3,100%,0.,23717.496936321,20%,0.1,5%,2.9,3%,-1.,24%,-31.9,23717.496936321,19%,4.3,26,-1%,4%,-1.1,0%,0.,,,2%,-0.2,32640.722578526,197,-1%,78%,0.1,100%,0.,32640.722578526,20%,1.6,2%,0.6,4%,0.8,56%,7.2,32640.722578526,15%,2.6,26,2%,5%,-0.2,0%,0.,,,2%,-0.4,31673.093220234,198,3%,78%,4.8,100%,0.,31673.093220234,18%,-2.8,1%,1.2,3%,-0.7,49%,-1.3,31673.093220234,12%,-2.4,26,1%,5%,-0.1,0%,0.,,,3%,0.,26963.317410469,193,2%,73%,12.5,100%,,26963.317410469,21%,-5.2,0%,-0.1,4%,2.4,50%,35.1,26963.317410469,14%,-5.8,25,-22%,5%,-3.2,0%,0.,,,3%,-0.9,18616.481992006,189,24%,61%,-0.7,,,18616.481992006,26%,2.4,0%,-0.2,1%,-1.2,15%,-11.5,18616.481992006,20%,1.7,32,-13%,8%,-4.9,0%,0.,,,4%,-2.2,19454.895961285,153,,62%,,,,19454.895961285,24%,,0%,,2%,,26%,,19454.895961285,19%,,37,,13%,,0%,,,,6%,
Ukraine,Pharmacies,ANRI-PHARM,5399.99747467,61,-13%,62%,-29.,100%,-0.4,5399.99747467,25%,-3.7,1%,0.6,11%,1.4,94%,23.5,5399.99747467,27%,-7.7,36,-28%,6%,-12.2,8%,4.8,0%,0.,5%,-4.5,956.42413044,70,,91%,,100%,,956.42413044,28%,,0%,,9%,,71%,,956.42413044,35%,,50,,19%,,4%,,0%,,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Grocery Stores,VARUS,101330.020553589,58,-2%,99%,-0.3,97%,-1.1,101330.020553589,14%,-3.8,28%,14.7,7%,0.6,0%,-36.3,101330.020553589,6%,-2.7,35,0%,9%,0.2,43%,-10.8,27%,26.2,6%,-4.7,72611.643316269,59,2%,99%,0.7,98%,-0.8,72611.643316269,18%,9.7,13%,13.5,6%,3.8,36%,-13.6,72611.643316269,9%,-82.1,35,-31%,9%,9.,53%,53.4,0%,,10%,10.4,7.994690418,58,,99%,,99%,,7.994690418,8%,,0%,,2%,,50%,,7.994690418,91%,,51,,0%,,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Gas Station Convenience,BRSM,261.999959469,27,440%,86%,-10.3,96%,0.5,261.999959469,14%,-1.4,39%,39.2,17%,17.1,0%,0.,261.999959469,40%,15.,36,24%,0%,-25.,0%,0.,,,2%,2.2,22.010873318,5,,96%,,96%,,22.010873318,16%,,0%,,0%,,0%,,22.010873318,25%,,29,,25%,,0%,,,,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Grocery Stores,RUKAVYCHKA,11374.703620911,10,-17%,29%,5.7,89%,-0.7,11374.703620911,14%,-1.5,8%,7.1,3%,0.3,0%,-64.8,11374.703620911,10%,-0.6,45,15%,4%,-1.7,24%,-2.4,17%,3.5,4%,-2.,12390.651910782,12,0%,23%,0.6,90%,-1.,12390.651910782,16%,-0.2,1%,-0.2,3%,0.4,65%,10.3,12390.651910782,11%,-0.2,39,20%,5%,0.,27%,5.1,14%,-1.4,6%,1.1,10595.627376556,12,-20%,22%,-8.9,91%,49.5,10595.627376556,16%,-1.3,1%,0.5,3%,-3.1,54%,-31.1,10595.627376556,11%,-1.4,32,4%,5%,0.8,21%,3.,15%,6.4,5%,0.9,14670.072930813,15,-12%,31%,-0.8,41%,41.,14670.072930813,17%,-2.,1%,0.1,6%,0.7,86%,29.,14670.072930813,13%,-6.3,31,-15%,5%,-1.6,19%,-4.5,9%,-14.,4%,-1.4,14594.54458499,17,-11%,32%,-8.4,0%,0.,14594.54458499,19%,1.2,0%,-0.3,5%,0.5,57%,9.4,14594.54458499,19%,-8.2,37,-28%,6%,-7.,23%,-11.,23%,-4.,5%,-2.7,11857.520799637,19,,40%,,0%,,11857.520799637,18%,,1%,,5%,,47%,,11857.520799637,27%,,51,,13%,,34%,,27%,,8%,
Ukraine,Grocery Stores,KOPIYKA,15154.338084698,60,0%,91%,0.3,87%,-1.2,15154.338084698,15%,-0.3,8%,0.3,5%,-0.4,46%,-11.2,15154.338084698,6%,0.4,34,-31%,8%,-3.,35%,3.,29%,8.,4%,-1.1,14141.269330978,60,0%,91%,-1.8,88%,1.1,14141.269330978,15%,-1.8,8%,-10.8,5%,-2.5,57%,2.4,14141.269330978,5%,0.1,49,36%,11%,-1.5,32%,-2.5,21%,-0.9,5%,-0.5,16190.525790215,60,0%,93%,-2.2,87%,61.2,16190.525790215,17%,-3.2,18%,13.7,8%,1.,55%,-28.4,16190.525790215,5%,-0.7,37,-1%,12%,1.2,35%,0.3,22%,-5.1,6%,-0.3,16985.087224007,60,0%,95%,-0.5,26%,26.1,16985.087224007,20%,2.5,5%,-9.1,7%,0.2,83%,23.5,16985.087224007,6%,-2.4,37,-27%,11%,-2.7,35%,-4.4,27%,-10.6,6%,-3.7,18637.361013412,60,-2%,96%,-0.4,0%,0.,18637.361013412,18%,0.6,14%,3.,7%,-0.2,60%,4.3,18637.361013412,8%,-2.4,51,-24%,14%,-7.8,39%,-4.3,38%,-4.2,10%,-3.5,18501.185767174,61,,96%,,0%,,18501.185767174,17%,,11%,,7%,,55%,,18501.185767174,11%,,66,,22%,,43%,,42%,,13%,
Ukraine,Grocery Stores,RODYNNA KOVBASKA,677.276165724,26,0%,55%,20.1,87%,-10.1,677.276165724,12%,-5.8,16%,12.2,7%,-0.6,0%,-95.8,677.276165724,47%,-1.,104,212%,3%,-1.6,38%,-3.7,33%,2.1,8%,1.7,331.322969437,26,18%,35%,8.4,97%,-1.3,331.322969437,17%,1.,4%,2.6,8%,1.1,96%,1.9,331.322969437,48%,1.9,33,-1%,4%,1.1,42%,11.9,31%,2.7,7%,6.5,470.000884533,22,-27%,27%,-23.6,98%,8.2,470.000884533,16%,-3.2,2%,1.7,7%,6.8,94%,93.9,470.000884533,46%,-23.1,34,6%,3%,3.3,30%,-3.3,29%,-31.4,0%,-10.3,101.217308044,30,,50%,50.3,90%,,101.217308044,20%,,0%,,0%,,0%,,101.217308044,69%,,32,,0%,,33%,,60%,,10%,,0,0,,0%,,,,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,Grocery Stores,KOPIYKA MINI,5324.523460388,18,0%,96%,1.,87%,-1.4,5324.523460388,15%,-0.9,25%,23.,10%,6.1,42%,-10.6,5324.523460388,7%,1.6,70,-20%,9%,-0.9,20%,-1.8,30%,9.,5%,0.6,5093.282936096,18,-5%,95%,-3.2,88%,0.2,5093.282936096,16%,-0.9,2%,-17.3,4%,-4.9,53%,-3.,5093.282936096,5%,-2.9,88,35%,10%,1.1,21%,0.2,21%,-1.1,5%,0.9,4356.1588974,19,-10%,98%,-0.4,88%,57.9,4356.1588974,17%,-4.3,19%,14.6,9%,1.7,56%,-30.5,4356.1588974,8%,0.9,65,98%,9%,1.6,21%,-1.8,22%,-6.2,4%,-0.9,4279.316369057,21,0%,98%,1.1,30%,29.8,4279.316369057,21%,-0.4,4%,-12.2,7%,-1.5,86%,27.7,4279.316369057,7%,-1.5,33,-36%,7%,-5.7,23%,-1.4,28%,-5.,5%,-2.5,3657.662401199,21,-5%,97%,1.8,0%,0.,3657.662401199,21%,2.9,16%,2.4,9%,1.5,59%,10.7,3657.662401199,9%,-8.5,52,1%,13%,-4.1,24%,-6.5,33%,-9.5,7%,-5.2,4204.088917732,22,,96%,,0%,,4204.088917732,18%,,14%,,7%,,48%,,4204.088917732,17%,,51,,17%,,31%,,43%,,13%,
Ukraine,Specialty Stores,TAISTRA,4370.239257813,1,0%,99%,2.,86%,0.9,4370.239257813,12%,1.4,18%,-4.7,6%,-2.2,36%,-44.3,4370.239257813,3%,-2.2,29,-1%,2%,-5.1,26%,2.3,26%,26.2,2%,-0.8,4312.576660156,1,0%,97%,0.6,85%,0.9,4312.576660156,11%,-0.5,23%,15.1,8%,3.4,80%,7.8,4312.576660156,6%,1.5,30,5%,7%,1.2,24%,-4.6,0%,0.,3%,-2.2,4245.859375,1,0%,97%,-2.2,84%,61.6,4245.859375,11%,-0.7,8%,-4.9,5%,-3.5,72%,-12.9,4245.859375,4%,1.,28,11%,6%,4.6,28%,2.9,0%,0.,5%,2.2,4440.853027344,1,0%,99%,14.,23%,22.5,4440.853027344,12%,-1.3,12%,-19.3,8%,-2.6,85%,44.4,4440.853027344,3%,-5.7,25,-36%,2%,-9.3,25%,-4.4,0%,0.,3%,-6.7,2022.636474609,1,0%,85%,-8.3,0%,-0.,2022.636474609,13%,1.1,32%,-5.4,11%,-0.,41%,8.4,2022.636474609,9%,-4.7,40,-55%,11%,-12.3,30%,6.6,0%,0.,10%,-1.6,1092.166870117,1,,93%,,0%,,1092.166870117,12%,,37%,,11%,,33%,,1092.166870117,14%,,87,,23%,,23%,,0%,,11%,
