,,Report Time (dynamic),2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-08,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-07,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06,2026-06
Country Name,Store Shopping Mission,Brand Name,Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP",Selection,Active Merchants,"Δ %, Active Merchants PP",Merchant Availability Rate,"Δ ppt, Merchant Availability Rate PP",SKU Availability,"Δ ppt, SKU Availability PP",Value,"Eater Frees, AOV %","Δ %, Eater Fees, AOV % PP","Item-Level Promo, GMV %","Δ %, Item-Level Promo Share PP","Campaigns Discount, GMV %","Δ %, Campaigns Promo Share PP",Orders with Delivery Fee Campaign,"Δ ppt, Orders with Delivery Fee Campaign PP",Service,"Not-delivered orders, %","Δ ppt, Not-Delivered Orders PP","Total Delivery Time, min","Δ %, Total Delivery Time PP",Late Delivery (10+min) Rate,"Δ ppt, Late Delivery (10+min) Rate PP",Order Defect Rate,"Δ ppt, Order Defect Rate PP",Order Replacement Rate,"Δ ppt, Order Replacement Rate PP",CS Ticket Order Rate,"Δ ppt, CS Ticket Rate PP"
Ukraine,Grocery Stores,VARUS,233133.225280762,60,2%,95%,-4.5,97%,-1.,233133.225280762,13%,0.1,35%,-1.2,13%,0.9,62%,12.6,233133.225280762,10%,5.5,44,18%,10%,1.4,53%,2.2,45%,-1.7,7%,1.4,156188.592712402,59,2%,99%,0.4,98%,0.5,156188.592712402,13%,-0.9,36%,7.5,12%,5.1,49%,49.3,156188.592712402,5%,-1.3,38,6%,8%,-0.7,51%,8.3,47%,20.4,6%,-0.1,101330.020553589,58,,99%,,97%,,101330.020553589,14%,,28%,,7%,,0%,,101330.020553589,6%,,35,,9%,,43%,,27%,,6%,
Ukraine,Grocery Stores,LOKO,79603.714096069,124,0%,85%,1.4,49%,-5.7,79603.714096069,5%,0.3,11%,9.8,5%,4.4,0%,0.,79603.714096069,3%,1.5,210,587%,,,6%,-0.6,0%,0.,8%,0.7,73911.739383698,124,0%,84%,1.6,55%,-5.4,73911.739383698,5%,-0.3,1%,-5.,0%,-2.4,0%,0.,73911.739383698,1%,-1.3,31,-48%,,,7%,3.3,0%,0.,7%,-0.6,67295.614997864,124,,82%,,60%,,67295.614997864,5%,,6%,,3%,,0%,,67295.614997864,2%,,59,,,,4%,,0%,,7%,
Ukraine,Alcohol Stores,HOP HEY,40398.735331416,160,0%,96%,-0.9,75%,-3.1,40398.735331416,17%,0.7,3%,2.8,2%,0.7,17%,-8.5,40398.735331416,4%,0.9,28,2%,5%,-1.,5%,-0.2,26%,3.4,3%,-0.6,33733.88407135,160,-1%,97%,0.4,79%,-6.6,33733.88407135,17%,0.1,1%,-2.,1%,-0.1,26%,3.,33733.88407135,4%,0.7,27,1%,6%,-0.7,5%,0.2,23%,-1.6,3%,0.3,32504.48426652,161,,96%,,85%,,32504.48426652,16%,,3%,,2%,,23%,,32504.48426652,3%,,27,,7%,,5%,,25%,,3%,
Ukraine,Grocery Stores,KOPIYKA,25081.503444672,60,0%,88%,-2.,86%,-2.5,25081.503444672,14%,-0.9,25%,5.,12%,4.1,75%,39.6,25081.503444672,4%,-0.4,55,58%,9%,0.9,32%,-3.2,27%,1.9,6%,0.7,16050.173140526,60,0%,90%,-0.9,88%,-2.4,16050.173140526,15%,-0.1,20%,12.6,8%,2.8,36%,-10.3,16050.173140526,5%,-1.2,35,3%,8%,-0.1,35%,-0.3,25%,-3.8,5%,1.1,15154.338084698,60,,91%,,91%,,15154.338084698,15%,,8%,,5%,,46%,,15154.338084698,6%,,34,,8%,,35%,,29%,,4%,
Ukraine,Alcohol Stores,BEER MARKET,24064.122061729,166,-14%,78%,2.7,100%,0.,24064.122061729,19%,-0.1,11%,5.6,6%,2.5,27%,-4.7,24064.122061729,15%,1.6,27,10%,3%,-0.7,0%,0.,,,3%,0.1,24056.80796504,192,2%,75%,5.1,100%,0.,24056.80796504,19%,-0.9,5%,0.7,3%,0.7,32%,7.6,24056.80796504,13%,-6.1,24,-5%,4%,0.5,0%,0.,,,3%,0.2,23717.496936321,188,,70%,,100%,,23717.496936321,20%,,5%,,3%,,24%,,23717.496936321,19%,,26,,4%,,0%,,,,2%,
Ukraine,Convenience Stores,CAFE RYNOK,23650.699707031,12,0%,93%,-1.8,74%,-2.1,23650.699707031,11%,0.3,37%,-6.1,9%,0.2,48%,4.2,23650.699707031,2%,-0.8,30,15%,3%,1.,13%,0.3,72%,-1.,2%,-0.8,21093.092224121,12,0%,94%,2.7,76%,-2.8,21093.092224121,11%,-0.4,43%,19.8,9%,3.6,44%,8.5,21093.092224121,2%,0.3,26,-12%,2%,-1.2,13%,1.1,73%,-1.3,2%,0.6,20015.688812256,12,,92%,,79%,,20015.688812256,11%,,23%,,5%,,36%,,20015.688812256,2%,,30,,3%,,12%,,74%,,2%,
Ukraine,Alcohol Stores,BEERLAND,14834.168307304,37,0%,89%,-4.7,,,14834.168307304,19%,-0.6,10%,-2.4,5%,-0.1,28%,-12.8,14834.168307304,9%,1.3,25,-2%,4%,1.1,0%,0.,,,4%,1.3,13054.194488525,37,-3%,94%,1.9,,,13054.194488525,20%,-0.2,12%,-1.,5%,-0.2,40%,-5.,13054.194488525,8%,-2.4,26,2%,3%,-0.9,0%,0.,,,3%,0.6,12128.010662079,38,,92%,,,,12128.010662079,20%,,13%,,5%,,45%,,12128.010662079,10%,,25,,4%,,0%,,,,2%,
Ukraine,Alcohol Stores,PYVNA BORODA,13906.399018764,48,0%,95%,-0.1,,,13906.399018764,18%,0.3,5%,1.4,3%,0.4,20%,-3.3,13906.399018764,10%,-0.9,23,-4%,2%,-1.,0%,0.,,,2%,0.3,13393.843129158,48,2%,95%,-0.6,,,13393.843129158,17%,0.2,4%,-1.5,2%,-0.6,23%,-6.7,13393.843129158,11%,0.4,24,8%,3%,-0.2,0%,0.,,,2%,0.2,10913.710252762,47,,96%,,,,10913.710252762,17%,,6%,,3%,,30%,,10913.710252762,11%,,23,,3%,,0%,,,,1%,
Ukraine,Alcohol Stores,REMESLO BREWERY,13083.487635612,63,9%,86%,-3.,,,13083.487635612,16%,0.7,11%,-3.1,6%,0.6,41%,-0.2,13083.487635612,4%,-0.4,24,-11%,4%,0.6,0%,0.,,,1%,-0.1,12538.849485397,58,4%,89%,-2.2,,,12538.849485397,15%,0.5,14%,0.8,5%,0.1,41%,-4.,12538.849485397,4%,0.3,27,1%,3%,0.7,0%,0.,,,1%,-0.,13737.00376749,56,,91%,,,,13737.00376749,14%,,13%,,5%,,45%,,13737.00376749,4%,,27,,2%,,0%,,,,1%,
